dataset,model,rmse,rank
kin8nm,AnchorSplineOMP_v1,0.799344,11
kin8nm,ResidualKnotRidge_v1,0.809102,25
kin8nm,SplitSparseLinear_v1,0.796217,10
kin8nm,SparseKnotLinear_v2,0.822379,48
kin8nm,CompactResidualSpline_v1,0.826562,49
kin8nm,SparseAdditiveKnot_v1,0.833625,51
kin8nm,CompactRuleLinear_v1,0.812247,41
kin8nm,ResidualBasisRidge_v1,0.773283,5
kin8nm,SparseResidualHybrid_v1,0.810694,28
kin8nm,ValidatedSymbolicResidual_v1,0.783550,8
kin8nm,SparseRidgeOneHinge_v1,0.817259,46
kin8nm,DenseBackboneHingePair_v1,0.813080,45
kin8nm,ScreenedAdaptiveBasis_v1,0.807261,21
kin8nm,SparseQuantizedKnot_v1,0.812023,40
kin8nm,SymbolicResidualHybridDense_v1,0.782370,7
kin8nm,BackfitHingeGAM_v1,1.035747,60
kin8nm,ProjectedSplineResidual_v1,0.827986,50
kin8nm,SparseSignedHingeDict_v1,0.793585,9
kin8nm,SparsePairwiseSpline_v1,0.843333,52
kin8nm,QuantizedAdaptiveRidge_v1,0.812473,42
kin8nm,QuantizedAdaptiveRidge_v2,0.812473,43
kin8nm,DenseRidgeOneKnot_v1,,
kin8nm,DenseRidgeOneKnot_v2,0.806602,20
kin8nm,LinearStepRule_v1,0.809340,26
kin8nm,TwinHingeAdditiveRidge_v1,0.810314,27
kin8nm,AdditiveStepRidge_v1,0.808651,24
kin8nm,ScoreSplineLinear_v1,0.811901,36
kin8nm,AdaptiveStepLinear_v1,0.811901,37
kin8nm,DebiasedSparseLinear_v1,0.811674,33
kin8nm,SpectralRidgeCV_v1,0.811901,38
kin8nm,ResidualStumpRidge_v1,0.808007,22
kin8nm,SingleIndexSpline_v1,0.811620,29
kin8nm,SingleIndexSpline_v2,0.811620,30
kin8nm,GreedyMedianHinge_v1,0.813021,44
kin8nm,RobustAdaptiveLinear_v1,0.811634,31
kin8nm,SparseAdditiveHingeRidge_v1,0.799656,13
kin8nm,LinearBoostedRules_v1,0.808377,23
kin8nm,SparseMeanHingeAdditive_v1,0.802048,16
kin8nm,SplitLinearModelTree_v1,0.800748,15
kin8nm,OrthogonalRidgeEquation_v1,0.811901,39
kin8nm,SparseAdaptiveSplineRidge_v1,0.799518,12
kin8nm,SparseLinearRuleBoost_v1,0.804899,19
pmlb/1027_ESL,PyGAM,0.374026,40
pmlb/1027_ESL,DT_mini,0.576479,57
pmlb/1027_ESL,DT_large,0.529210,53
pmlb/1027_ESL,OLS,0.361241,6
pmlb/1027_ESL,LassoCV,0.361351,10
pmlb/1027_ESL,RidgeCV,0.361933,13
pmlb/1027_ESL,RF,0.463850,51
pmlb/1027_ESL,GBM,0.380681,49
pmlb/1027_ESL,MLP,0.370737,30
pmlb/1027_ESL,FIGS_mini,0.539162,54
pmlb/1027_ESL,FIGS_large,0.437071,50
pmlb/1027_ESL,RuleFit,0.366258,20
pmlb/1027_ESL,HSTree_mini,0.575679,56
pmlb/1027_ESL,HSTree_large,0.519495,52
pmlb/1027_ESL,EBM,0.364431,18
pmlb/1027_ESL,TabPFN,0.373296,38
pmlb/1027_ESL,DecisionTreeSimple,0.562239,55
pmlb/1027_ESL,SparseHingeAdd_v1,0.377119,47
pmlb/1027_ESL,SparseSymbolicGreedy_v1,0.374444,43
pmlb/1027_ESL,AnchorSplineOMP_v1,0.361126,5
pmlb/1027_ESL,ResidualKnotRidge_v1,0.368770,27
pmlb/1027_ESL,SplitSparseLinear_v1,0.361613,12
pmlb/1027_ESL,SparseKnotLinear_v2,0.363829,16
pmlb/1027_ESL,CompactResidualSpline_v1,0.373179,36
pmlb/1027_ESL,SparseAdditiveKnot_v1,0.370197,29
pmlb/1027_ESL,CompactRuleLinear_v1,0.367687,26
pmlb/1027_ESL,ResidualBasisRidge_v1,0.378283,48
pmlb/1027_ESL,SparseResidualHybrid_v1,0.374399,42
pmlb/1027_ESL,ValidatedSymbolicResidual_v1,0.359512,3
pmlb/1027_ESL,SparseRidgeOneHinge_v1,0.374372,41
pmlb/1027_ESL,DenseBackboneHingePair_v1,0.373283,37
pmlb/1027_ESL,ScreenedAdaptiveBasis_v1,0.371503,33
pmlb/1027_ESL,SparseQuantizedKnot_v1,0.372633,35
pmlb/1027_ESL,SymbolicResidualHybridDense_v1,0.705042,58
pmlb/1027_ESL,BackfitHingeGAM_v1,4.199795,60
pmlb/1027_ESL,ProjectedSplineResidual_v1,0.772190,59
pmlb/1027_ESL,SparseSignedHingeDict_v1,0.370856,32
pmlb/1027_ESL,SparsePairwiseSpline_v1,0.376851,46
pmlb/1027_ESL,QuantizedAdaptiveRidge_v1,0.366625,24
pmlb/1027_ESL,QuantizedAdaptiveRidge_v2,0.366625,25
pmlb/1027_ESL,DenseRidgeOneKnot_v1,,
pmlb/1027_ESL,DenseRidgeOneKnot_v2,0.376160,45
pmlb/1027_ESL,LinearStepRule_v1,0.373750,39
pmlb/1027_ESL,TwinHingeAdditiveRidge_v1,0.364595,19
pmlb/1027_ESL,AdditiveStepRidge_v1,0.364266,17
pmlb/1027_ESL,ScoreSplineLinear_v1,0.361302,8
